Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
1/01/2023,1091824689,128024.89,28700.98,81687.57,20.43,17615.92,NA,NA,NA,conventional,Albany
1/01/2023,2067483216,2237.52,120.34,425.63,2.04,1689.52,NA,NA,NA,organic,Albany
1/01/2023,0.915235728,723751.85,415298.85,234933.53,233.84,73285.63,NA,NA,NA,conventional,Atlanta
1/01/2023,0.833448122,53216.62,1708.12,18599.7,0,32908.79,NA,NA,NA,organic,Atlanta
1/01/2023,1311804625,769116.53,122554.95,316483.18,1662.49,328390.63,NA,NA,NA,conventional,BaltimoreWashington
1/01/2023,179203364,39472.99,475.74,8479.24,2.3,30515.71,NA,NA,NA,organic,BaltimoreWashington
1/01/2023,0.871061471,317957.95,226820.65,33761.84,61.95,57313.52,NA,NA,NA,conventional,BirminghamMontgomery
1/01/2023,0.911702121,12527.2,30.77,3318.41,0,9178.02,NA,NA,NA,organic,BirminghamMontgomery
1/01/2023,0.915878873,123577.25,67107.29,40179.44,195.73,16094.8,NA,NA,NA,conventional,Boise
1/01/2023,1746878377,5091.48,758.51,3369.86,0,963.11,NA,NA,NA,organic,Boise
1/01/2023,1372906427,464542.06,43616.01,319846.94,86.94,100987.44,NA,NA,NA,conventional,Boston
1/01/2023,1799477875,21885.15,160.55,2544.76,0,19179.84,NA,NA,NA,organic,Boston
1/01/2023,1096880352,156669.33,32344.16,48800.12,1104.48,74348.33,NA,NA,NA,conventional,BuffaloRochester
1/01/2023,1881837758,7233.28,544.14,122.89,0,6566.26,NA,NA,NA,organic,BuffaloRochester
1/01/2023,1168053934,5978815.62,3126017.36,566413.24,1084794.62,1201590.41,NA,NA,NA,conventional,California
1/01/2023,1827464887,295496.52,123403.29,12492.58,1.45,159599.2,NA,NA,NA,organic,California
1/01/2023,1153965401,355880.23,157167.71,59347.72,810.13,138542.5,NA,NA,NA,conventional,Charlotte
1/01/2023,1753511587,16450.48,473.4,2851.6,2.21,13123.26,NA,NA,NA,organic,Charlotte
1/01/2023,0.767914275,1326188.51,779079.75,255207.78,86507.1,205393.88,NA,NA,NA,conventional,Chicago
1/01/2023,1656985185,27431.5,5691.68,12096.06,0,9643.76,NA,NA,NA,organic,Chicago
1/01/2023,0.932278334,301039.08,79052.94,172781.06,14703.54,34501.53,NA,NA,NA,conventional,CincinnatiDayton
1/01/2023,1812945104,6817.11,14.62,5110.29,0,1692.2,NA,NA,NA,organic,CincinnatiDayton
1/01/2023,0.945433494,251802.17,74568.44,112831.47,12274.58,52127.68,NA,NA,NA,conventional,Columbus
1/01/2023,1883098162,6574.21,932.42,3363.36,0,2278.43,NA,NA,NA,organic,Columbus
1/01/2023,0.702268825,1472099.78,512056.6,293718.48,32009.51,634315.19,NA,NA,NA,conventional,DallasFtWorth
1/01/2023,1334002098,31763.2,13796.09,942.74,0,17024.37,NA,NA,NA,organic,DallasFtWorth
1/01/2023,0.847344895,970968.95,319880.56,394749.28,19750.16,236588.96,NA,NA,NA,conventional,Denver
1/01/2023,1481213675,23273.54,19470.74,612.15,0,3190.64,NA,NA,NA,organic,Denver
1/01/2023,0.890405261,462961.32,84100.97,231640.04,76079.12,71141.18,NA,NA,NA,conventional,Detroit
1/01/2023,1503286776,10723,176.67,4541.78,0,6004.56,NA,NA,NA,organic,Detroit
1/01/2023,0.96300165,203845.45,34796.15,65237.75,76228.28,27583.26,NA,NA,NA,conventional,GrandRapids
1/01/2023,1513842193,4539.35,45.23,754.57,0,3739.55,NA,NA,NA,organic,GrandRapids
1/01/2023,0.855410365,4569615.62,1806291.01,1522535.24,463942.37,776846.99,NA,NA,NA,conventional,GreatLakes
1/01/2023,1638405892,102588.93,14484.71,37690.74,0,50413.48,NA,NA,NA,organic,GreatLakes
1/01/2023,1077536418,328217.31,122779.11,99497.14,11098.12,94838.25,NA,NA,NA,conventional,HarrisburgScranton
1/01/2023,158326127,11466.14,288.47,415.79,0,10761.87,NA,NA,NA,organic,HarrisburgScranton
1/01/2023,1209953727,338229.96,15604.94,269934.57,48.65,52637.4,NA,NA,NA,conventional,HartfordSpringfield
1/01/2023,1899097772,14385.08,592.21,6246.35,0,7546.53,NA,NA,NA,organic,HartfordSpringfield
1/01/2023,0.728810578,866213.26,302391.83,310676.32,4721.98,248423.14,NA,NA,NA,conventional,Houston
1/01/2023,1356096964,14196.62,8582.64,297.12,0,5316.85,NA,NA,NA,organic,Houston
1/01/2023,0.864991663,243846.96,72098.48,95746.7,17522.26,58479.52,NA,NA,NA,conventional,Indianapolis
1/01/2023,1730444717,4823.93,893.3,2471.54,0,1459.09,NA,NA,NA,organic,Indianapolis
1/01/2023,0.959916849,235206.97,187297.21,3584.84,30.1,44294.82,NA,NA,NA,conventional,Jacksonville
1/01/2023,0.934350153,15705.77,128.91,1764.95,0,13811.91,NA,NA,NA,organic,Jacksonville
1/01/2023,0.928466508,382664.78,107966.3,159434.56,2549.96,112713.96,NA,NA,NA,conventional,LasVegas
1/01/2023,152411218,13077.99,6335.36,2662.6,0,4080.04,NA,NA,NA,organic,LasVegas
1/01/2023,1097001918,2976316.66,1332069.32,173709.75,854093.86,616443.73,NA,NA,NA,conventional,LosAngeles
1/01/2023,1905993492,103804.41,54506.23,4326.87,1.38,44969.92,NA,NA,NA,organic,LosAngeles
1/01/2023,0.863843426,131862.05,32163.21,64508.95,4297.49,30892.41,NA,NA,NA,conventional,Louisville
1/01/2023,1879747616,4260.77,54.57,3809.82,0,396.38,NA,NA,NA,organic,Louisville
1/01/2023,0.934886703,1009789.98,743766.23,35021.71,204.18,230797.86,NA,NA,NA,conventional,MiamiFtLauderdale
1/01/2023,1107094429,36436.14,22776.97,1282.88,0,12376.29,NA,NA,NA,organic,MiamiFtLauderdale
1/01/2023,1065436987,3655778.51,1373362.01,1076023.21,15093.64,1191110.83,NA,NA,NA,conventional,Midsouth
1/01/2023,1584146801,178763.33,2506.33,52333.37,39.96,123883.68,NA,NA,NA,organic,Midsouth
1/01/2023,0.86772247,295387.07,137191.43,76127.87,781.14,81286.63,NA,NA,NA,conventional,Nashville
1/01/2023,1083047902,13941.35,70.24,11072.81,0,2798.29,NA,NA,NA,organic,Nashville
1/01/2023,0.721937405,292090,167426.11,1728.42,1576.83,121358.63,NA,NA,NA,conventional,NewOrleans
1/01/2023,0.725504204,8699.87,303.33,7041.83,0,1354.7,NA,NA,NA,organic,NewOrleans
1/01/2023,1285597134,1690099.95,120818.01,1116964.58,889.82,451409.53,NA,NA,NA,conventional,NewYork
1/01/2023,1797939038,68021.32,4294.84,10562.46,0,53164.01,NA,NA,NA,organic,NewYork
1/01/2023,1205091903,4842943.24,781327.87,2854943.02,22388.85,1184152.89,NA,NA,NA,conventional,Northeast
1/01/2023,1815321632,178054.21,11281.29,25700.35,3.47,141069.1,NA,NA,NA,organic,Northeast
1/01/2023,1076965428,534951.49,114457.75,356631.31,76.12,63786.3,NA,NA,NA,conventional,NorthernNewEngland
1/01/2023,2289021243,9083.9,1300.38,294.61,1.36,7487.55,NA,NA,NA,organic,NorthernNewEngland
1/01/2023,0.924745627,565428.87,381161.36,9251.02,43.09,174973.4,NA,NA,NA,conventional,Orlando
1/01/2023,0.860835995,40955.41,15433.88,1127.4,0,24394.13,NA,NA,NA,organic,Orlando
1/01/2023,0.775463769,121767.19,61069.2,21595.17,8292.31,30810.5,NA,NA,NA,conventional,PeoriaSpringfield
1/01/2023,1647262941,2495.03,112.87,784.16,0,1598.01,NA,NA,NA,organic,PeoriaSpringfield
1/01/2023,1124753339,497499.97,107819.86,221298.54,7098.04,161265.22,NA,NA,NA,conventional,Philadelphia
1/01/2023,173395562,18761.14,915.17,3216.99,0,14628.99,NA,NA,NA,organic,Philadelphia
1/01/2023,0.843901071,1178532.26,459829.92,538434.24,4077.17,176190.93,NA,NA,NA,conventional,PhoenixTucson
1/01/2023,1615283467,23204.2,9846.32,5598.64,0,7759.24,NA,NA,NA,organic,PhoenixTucson
1/01/2023,1052285805,158605.17,108965.56,13555.31,29.93,36054.37,NA,NA,NA,conventional,Pittsburgh
1/01/2023,1680993975,6467.58,1604.77,2.73,0,4860.09,NA,NA,NA,organic,Pittsburgh
1/01/2023,0.807460379,2035658.34,986376.04,537050.12,6305.89,505914.52,NA,NA,NA,conventional,Plains
1/01/2023,1362898995,47922.58,9719.68,4152.97,0,34049.92,NA,NA,NA,organic,Plains
1/01/2023,0.915427414,727516.21,366173.31,246969.82,28039.2,86333.88,NA,NA,NA,conventional,Portland
1/01/2023,1895751875,29118.9,7638.3,18506.05,1.33,2973.21,NA,NA,NA,organic,Portland
1/01/2023,1501617035,56294.23,2914.4,41641.29,6.61,11731.93,NA,NA,NA,conventional,Providence
1/01/2023,1775755859,2600.93,0,5.54,0,2595.39,NA,NA,NA,organic,Providence
1/01/2023,1119073536,403958.12,162765.33,79068.68,527.26,161585.11,NA,NA,NA,conventional,RaleighGreensboro
1/01/2023,164902388,23809.08,559.94,2505.25,24.54,20719.35,NA,NA,NA,organic,RaleighGreensboro
1/01/2023,1004842541,312937.48,141001.24,88312.95,341.63,83262.35,NA,NA,NA,conventional,RichmondNorfolk
1/01/2023,1523592366,15587.1,80.46,3157.15,1.07,12348.41,NA,NA,NA,organic,RichmondNorfolk
1/01/2023,0.908979089,179340.84,95433.51,43476.14,483.52,39947.67,NA,NA,NA,conventional,Roanoke
1/01/2023,1631510339,6280.08,55.27,2694.51,0,3530.3,NA,NA,NA,organic,Roanoke
1/01/2023,1369058532,443214.32,212832.2,103327.83,8559.27,118495.02,NA,NA,NA,conventional,Sacramento
1/01/2023,1318157109,34911.58,7066.72,1656.19,0,26188.67,NA,NA,NA,organic,Sacramento
1/01/2023,1117188583,556707.58,296130.6,37744.05,108370.9,114462.03,NA,NA,NA,conventional,SanDiego
1/01/2023,217955304,19581.01,12284.61,954.53,0,6341.87,NA,NA,NA,organic,SanDiego
1/01/2023,1313458618,762320.07,550154.76,82487.66,8132.81,121544.84,NA,NA,NA,conventional,SanFrancisco
1/01/2023,2073744222,67042.95,23380.79,3443.73,0,40218.43,NA,NA,NA,organic,SanFrancisco
1/01/2023,1141778038,588051.51,243088.74,250930.56,15032.26,78999.95,NA,NA,NA,conventional,Seattle
1/01/2023,1879641532,70173.8,15636.19,49205.15,11.19,5321.27,NA,NA,NA,organic,Seattle
1/01/2023,1011419715,531163.95,297638.73,105005.14,345.66,128146.42,NA,NA,NA,conventional,SouthCarolina
1/01/2023,1268537086,30395.87,656.26,4625.89,0,25113.72,NA,NA,NA,organic,SouthCarolina
1/01/2023,0.718152986,5081084.8,2230060.76,925252.41,69649.93,1855164.91,NA,NA,NA,conventional,SouthCentral
1/01/2023,1131755979,144154.3,38710.95,12117.13,0,93326.21,NA,NA,NA,organic,SouthCentral
1/01/2023,0.919384654,5387230.96,3637781.6,565260.09,1580.03,1182575.56,NA,NA,NA,conventional,Southeast
1/01/2023,0.971661518,280671.67,64252.26,44778.91,0,171640.49,NA,NA,NA,organic,Southeast
1/01/2023,1015836743,81985.89,40384.48,29110.3,17.14,12473.96,NA,NA,NA,conventional,Spokane
1/01/2023,1869021962,3536.63,803.57,2008.17,0,724.89,NA,NA,NA,organic,Spokane
1/01/2023,0.743567091,257873.77,192828.5,11446.91,28.62,53569.74,NA,NA,NA,conventional,StLouis
1/01/2023,2179890981,6369.84,1208.28,2905.38,0,2256.19,NA,NA,NA,organic,StLouis
1/01/2023,1087390388,74038.69,13895.16,35161.13,415.61,24547.99,NA,NA,NA,conventional,Syracuse
1/01/2023,1746510967,2845.82,242.34,92.9,0,2510.58,NA,NA,NA,organic,Syracuse
1/01/2023,0.892343521,644205.27,456549.31,13849.76,159.07,173647.14,NA,NA,NA,conventional,Tampa
1/01/2023,1191094179,15671.89,10992.07,1631.18,0,3048.64,NA,NA,NA,organic,Tampa
1/01/2023,0.890725265,134847.57,28183.82,64856.27,15455.47,26352.01,NA,NA,NA,conventional,Toledo
1/01/2023,169055997,2851.06,55.84,1520.37,0,1274.85,NA,NA,NA,organic,Toledo
1/01/2023,0.965414157,38415542.83,16771415.96,10689722.89,1770323.14,9182759.18,NA,NA,NA,conventional,TotalUS
1/01/2023,1507442704,1495116.18,361857.2,296812.43,64.24,836382.31,NA,NA,NA,organic,TotalUS
1/01/2023,0.905771588,6864415.76,2830199.3,2642245.57,106567.82,1285403.08,NA,NA,NA,conventional,West
1/01/2023,1638041368,267464.65,97498.69,107546.39,19.36,62400.21,NA,NA,NA,organic,West
1/01/2023,0.720692288,877819.27,386999.03,201724.7,11971.65,276245.72,NA,NA,NA,conventional,WestTexNewMexico
1/01/2023,0.950046956,39144.11,10333.91,1338.23,0,27471.97,NA,NA,NA,organic,WestTexNewMexico
1/01/2023,0.70013669,116097.8,76570.76,13803.7,20.08,25703.27,NA,NA,NA,conventional,Wichita
1/01/2023,1281420714,2214.35,1381.81,2.12,0,830.42,NA,NA,NA,organic,Wichita
9/01/2023,1096476607,123185.36,22058.54,76314.33,25.01,21389.38,NA,NA,NA,conventional,Albany
9/01/2023,0.933794312,769668.12,330488.26,44473.04,134.34,86145.08,NA,NA,NA,conventional,Atlanta
9/01/2023,1297977094,963706.23,141534.29,376635.87,2126.84,363497.42,NA,NA,NA,conventional,BaltimoreWashington
9/01/2023,0.860941807,377791.07,187197.78,7046.43,31.59,70424.69,NA,NA,NA,conventional,BirminghamMontgomery
9/01/2023,0.995287321,110665.1,25877.97,8973.74,171.26,19963.14,NA,NA,NA,conventional,Boise
9/01/2023,1316078913,614248.45,41337.59,324277.32,63.38,150386.36,NA,NA,NA,conventional,Boston
9/01/2023,1113446333,190755.76,25154.83,58163.45,1203.11,103401.64,NA,NA,NA,conventional,BuffaloRochester
9/01/2023,1208541865,334107.94,118684.04,46610.65,630.98,127009.27,NA,NA,NA,conventional,Charlotte
9/01/2023,1142596406,831326.36,138846.26,89496.67,27155.45,208614.51,NA,NA,NA,conventional,Chicago
9/01/2023,1014923271,312393.1,41500.16,61848.96,3139.57,66178.78,NA,NA,NA,conventional,CincinnatiDayton
9/01/2023,0.989165601,252900.4,46622.98,29025.82,2496.51,50968.94,NA,NA,NA,conventional,Columbus
9/01/2023,0.809745762,1407571.07,353325.22,113278.27,5421.93,472069.81,NA,NA,NA,conventional,DallasFtWorth
9/01/2023,0.901652284,900792.74,171218.78,133716.73,2784.49,269069.05,NA,NA,NA,conventional,Denver
9/01/2023,1005040845,437235.09,68409.38,68582.2,20344.06,118902.1,NA,NA,NA,conventional,Detroit
9/01/2023,1272462323,156059.36,22763.28,35798.83,22912.16,66102.13,NA,NA,NA,conventional,GrandRapids
9/01/2023,11059868,382889.51,151960.59,97958.02,13777.67,112528.04,NA,NA,NA,conventional,HarrisburgScranton
9/01/2023,1417861853,316550.95,15230.17,224600.67,279.01,67585.76,NA,NA,NA,conventional,HartfordSpringfield
9/01/2023,0.792814301,903594.72,254117.28,183356.06,780.25,221035.67,NA,NA,NA,conventional,Houston
9/01/2023,0.918126405,264352.98,50321.7,36021.54,4617.52,62249.45,NA,NA,NA,conventional,Indianapolis
9/01/2023,0.974306474,261366.33,151613.93,4172.58,11.83,48019.87,NA,NA,NA,conventional,Jacksonville
9/01/2023,0.892594215,429063.29,56292.18,39411.2,482.52,126485.29,NA,NA,NA,conventional,LasVegas
9/01/2023,1162507442,2809927.34,540506.52,17493.66,118721.66,627686.7,NA,NA,NA,conventional,LosAngeles
9/01/2023,0.962876837,144167.28,24588.07,13103.03,1072.06,35038.35,NA,NA,NA,conventional,Louisville
9/01/2023,0.931542362,1049278.45,597482.85,13827.3,201.33,261212.41,NA,NA,NA,conventional,MiamiFtLauderdale
9/01/2023,0.89512993,338921.58,104165.43,17086.94,57.44,93149.54,NA,NA,NA,conventional,Nashville
9/01/2023,1060136067,474929.08,97735.06,234707.09,18.25,82998.13,NA,NA,NA,conventional,NorthernNewEngland
9/01/2023,0.790332931,332597.48,126223.94,1935.45,181.8,132281.49,NA,NA,NA,conventional,NewOrleans
9/01/2023,1352827858,1664185.39,98513.02,921782.43,781.74,557712.47,NA,NA,NA,conventional,NewYork
9/01/2023,0.923015118,611310.67,295585.01,5839.62,17.01,194130.26,NA,NA,NA,conventional,Orlando
9/01/2023,0.854049033,126558,41785.35,7339.37,2592.42,35392.77,NA,NA,NA,conventional,PeoriaSpringfield
9/01/2023,1110836443,580383.31,136704.28,172706.39,11793.45,213263.83,NA,NA,NA,conventional,Philadelphia
9/01/2023,0.817917653,1338150.63,292862.39,170948.54,3799.17,196372.99,NA,NA,NA,conventional,PhoenixTucson
9/01/2023,1221609739,137256.46,49224.01,16312.34,109.79,41791.41,NA,NA,NA,conventional,Pittsburgh
9/01/2023,1095823205,608873.63,103950.27,65833.66,5435.65,95410.76,NA,NA,NA,conventional,Portland
9/01/2023,1342979886,89207.53,3857.56,51612.01,13.23,17209.37,NA,NA,NA,conventional,Providence
9/01/2023,1196787627,412569.25,132908,67691.98,717.99,163009.81,NA,NA,NA,conventional,RaleighGreensboro
